epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,41005,0.92749,0.71863,1.25818,0.91196,0.81381,0.86771,0.52853,1.4388,0.7809,1.4824,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
42,41980.4,0.92807,0.70738,1.25663,0.89483,0.82168,0.8709,0.52975,1.43958,0.77717,1.48509,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175
43,42963.7,0.91556,0.69706,1.2483,0.91491,0.81607,0.87555,0.5323,1.43529,0.77059,1.48362,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
44,43948.3,0.91232,0.69471,1.24426,0.87766,0.84465,0.87516,0.53021,1.44109,0.7716,1.48667,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525
45,44921.5,0.90608,0.67978,1.23767,0.86986,0.84667,0.87386,0.53036,1.4396,0.77424,1.48442,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
46,45893.9,0.90423,0.68033,1.23994,0.86699,0.85369,0.87376,0.5295,1.44016,0.77304,1.48614,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
47,46867,0.89317,0.67284,1.2339,0.87006,0.84691,0.8754,0.53031,1.43995,0.77205,1.48807,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
48,47839.7,0.88831,0.66733,1.23016,0.88522,0.84217,0.87624,0.53078,1.43463,0.76837,1.4846,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225
49,48809.7,0.88673,0.65956,1.22623,0.89333,0.84217,0.87607,0.5337,1.43173,0.76634,1.48159,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
50,49783.3,0.88176,0.65684,1.22139,0.89559,0.84279,0.87666,0.53596,1.43491,0.76134,1.48297,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575
51,50756.9,0.87725,0.64886,1.21888,0.89539,0.84317,0.87741,0.53798,1.43433,0.75978,1.48074,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
52,51731.6,0.87255,0.64308,1.21575,0.89745,0.84217,0.87605,0.53963,1.43162,0.75792,1.4785,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
53,52706.5,0.86789,0.63489,1.20879,0.89402,0.84217,0.876,0.54137,1.43106,0.75498,1.4763,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
54,53672.3,0.86553,0.63717,1.20989,0.89598,0.84217,0.87692,0.5431,1.42894,0.7533,1.47546,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275
55,54645.8,0.859,0.62837,1.2044,0.8949,0.84442,0.87546,0.54342,1.42802,0.75104,1.47431,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
56,55616.2,0.85176,0.61853,1.19988,0.89318,0.84442,0.87481,0.5417,1.42668,0.74993,1.47172,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625
57,56584.6,0.85252,0.6149,1.19953,0.89303,0.85036,0.87538,0.54303,1.42584,0.75044,1.47088,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
