                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
94,0.9291,0.6998,1.213,0.865,0.8,0.852,0.504,0.0,0.0,0.0,0.0,0.0,0.0
95,0.929,0.6993,1.213,0.857,0.805,0.853,0.505,0.0,0.0,0.0,0.0,0.0,0.0
96,0.9233,0.6914,1.208,0.859,0.805,0.853,0.504,0.0,0.0,0.0,0.0,0.0,0.0
97,0.9135,0.6899,1.203,0.869,0.811,0.857,0.507,0.0,0.0,0.0,0.0,0.0,0.0
98,0.9181,0.6922,1.204,0.877,0.811,0.857,0.505,0.0,0.0,0.0,0.0,0.0,0.0
99,0.9149,0.6869,1.199,0.883,0.809,0.857,0.505,0.0,0.0,0.0,0.0,0.0,0.0
100,0.9185,0.6795,1.202,0.881,0.809,0.857,0.505,0.0,0.0,0.0,0.0,0.0,0.0
101,0.9189,0.6791,1.199,0.881,0.812,0.856,0.508,0.0,0.0,0.0,0.0,0.0,0.0
102,0.9107,0.681,1.197,0.882,0.811,0.854,0.509,0.0,0.0,0.0,0.0,0.0,0.0
103,0.9098,0.6755,1.199,0.881,0.807,0.854,0.509,0.0,0.0,0.0,0.0,0.0,0.0
104,0.9099,0.6736,1.196,0.882,0.807,0.856,0.509,0.0,0.0,0.0,0.0,0.0,0.0
105,0.9016,0.6694,1.189,0.884,0.808,0.855,0.508,0.0,0.0,0.0,0.0,0.0,0.0
106,0.9043,0.667,1.193,0.88,0.805,0.853,0.507,0.0,0.0,0.0,0.0,0.0,0.0
107,0.9041,0.6709,1.195,0.881,0.805,0.853,0.508,0.0,0.0,0.0,0.0,0.0,0.0
108,0.8999,0.6638,1.192,0.883,0.804,0.853,0.508,0.0,0.0,0.0,0.0,0.0,0.0
109,0.9019,0.6657,1.193,0.886,0.81,0.853,0.508,0.0,0.0,0.0,0.0,0.0,0.0
110,0.8967,0.6619,1.19,0.88,0.807,0.853,0.509,0.0,0.0,0.0,0.0,0.0,0.0
111,0.8927,0.6591,1.186,0.88,0.807,0.854,0.508,0.0,0.0,0.0,0.0,0.0,0.0
112,0.8908,0.6554,1.185,0.883,0.807,0.854,0.507,0.0,0.0,0.0,0.0,0.0,0.0
113,0.8851,0.646,1.179,0.883,0.807,0.851,0.506,0.0,0.0,0.0,0.0,0.0,0.0
114,0.8899,0.6542,1.182,0.883,0.811,0.851,0.509,0.0,0.0,0.0,0.0,0.0,0.0
115,0.888,0.6546,1.185,0.885,0.809,0.852,0.509,0.0,0.0,0.0,0.0,0.0,0.0
