epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,48196.5,0.69253,0.47173,1.11772,0.88151,0.83976,0.86549,0.53931,1.39708,0.71422,1.55282,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,48887.8,0.69386,0.4695,1.1133,0.88281,0.84288,0.86817,0.54133,1.3973,0.71353,1.5531,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,49578.5,0.6864,0.46605,1.11224,0.88237,0.84494,0.86851,0.54207,1.39546,0.71094,1.55344,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,50268.6,0.68193,0.46124,1.10785,0.88492,0.84061,0.86831,0.54324,1.39246,0.7082,1.55219,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,50959.9,0.6772,0.45683,1.10889,0.88512,0.83766,0.86742,0.54157,1.39084,0.70647,1.55157,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,51650.5,0.66654,0.44847,1.10213,0.88522,0.8532,0.86845,0.54227,1.38868,0.70524,1.55209,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,52341.8,0.66228,0.43973,1.09504,0.88523,0.85285,0.86711,0.53932,1.38915,0.70309,1.55348,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,53032.6,0.65458,0.44082,1.09183,0.88646,0.85483,0.8677,0.54076,1.3895,0.69939,1.55477,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,53722.9,0.65526,0.43731,1.09006,0.88511,0.85545,0.86623,0.53875,1.39011,0.69729,1.55312,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,54413.6,0.64174,0.42712,1.08047,0.88644,0.85608,0.86632,0.53855,1.38878,0.69475,1.55483,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,55104.9,0.63873,0.42646,1.08168,0.88578,0.85545,0.86865,0.54166,1.38471,0.69262,1.55276,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,55796.1,0.63107,0.41943,1.08021,0.88414,0.85245,0.86357,0.53825,1.38485,0.68978,1.55382,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
